Country,Policy,Type,Comment
Greece,Mental Health,Target Interventions,Yes (shcools)
Latvia,Mental Health,Target Interventions,"Yes (e.g., vulnerable, marginalized, high risk populations, etc)"
Netherlands,Mental Health,Target Interventions,Yes
Portugal,Mental Health,Target Interventions,Yes
Latvia,Mental Health,Mental Health Promotion and/or Raising Awareness Programs,"Yes (esp. within school settings, at regional level, etc)."
Lithuania,Mental Health,Mental Health Promotion and/or Raising Awareness Programs,Yes
Netherlands,Mental Health,Mental Health Promotion and/or Raising Awareness Programs,Yes
Portugal,Mental Health,Mental Health Promotion and/or Raising Awareness Programs,Yes
Romania,Mental Health,Mental Health Promotion and/or Raising Awareness Programs,Yes
Ireland,Personalized Medicine,Chemoprevention,Yes
Estonia,Personalized Medicine,Facilitated Acces to Genetic Testing  to Reduce Cancer Risk for all Indicated,Yes
Estonia,Personalized Medicine,International Guidelines for Hereditary Tumor Syndroms Translated/Adjusted/Adopted,Yes
Estonia,Personalized Medicine,International Guidelines on Hereditary Tumor Management Applied for Management/ Studies of Cancer Patients Family Members,Yes
Bulgaria,Psychotropic Substances,Increase Access to Addiction Treatments,Yes
Czech Republic,Psychotropic Substances,Increase Access to Addiction Treatments,Yes
Latvia,Psychotropic Substances,Increase Access to Addiction Treatments,Yes
Bulgaria,Psychotropic Substances,Awareness Campaign,Yes
Greece,Psychotropic Substances,Awareness Campaign,Yes
Latvia,Psychotropic Substances,Awareness Campaign,Yes (custom)
Netherlands,Psychotropic Substances,Awareness Campaign,Yes
Latvia,Psychotropic Substances,Addiction Prevention Programs,Yes (targeted interventions)
France,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Germany,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Luxemburg,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Malta,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Romania,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",yes
Slovakia,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Spain,Governance,"Ensure High-quality Framework Conditions (e.g., transparency, collaboration of all stakeholders, etc.)",Yes
Estonia,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Germany,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Lithuania,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Luxemburg,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Malta,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Romania,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Slovakia,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
Spain,Governance,Integration of Health Promotio/Cancer Prevention in Fund Allocation/All Public Health Policies ,Yes
